Service,Service
Backup & Recovery Operations,643
Data Center Services,1391
NAS Storage,507
Object Storage Automation,286
Physical Data Center Access,2440
SAN Storage,182
Server Decommissioning (Legacy),8
Special Network Attached Storage (NAS)_V2,745
Special Storage Area Network (SAN)_V2,306
Tools Onboarding / Offboarding_V2,170
VM Server Capacity Modification,858
Service,Request-Type,Request-Type
Backup & Recovery Operations,BUR Admin Assistance,221
Backup & Recovery Operations,Migration/Decomm,5
Backup & Recovery Operations,New Backup Configuration,366
Backup & Recovery Operations,Permanently Stop Backups/Decommissions,3
Backup & Recovery Operations,Restore Request,48
Data Center Services,Cable Engineering,191
Data Center Services,Cable Engineering - China,16
Data Center Services,Cable Engineering - Singapore,2
Data Center Services,Configuration for Server IPs/iDRAC - China,1
Data Center Services,Configuration for Server IPs/iDRAC - Singapore,2
Data Center Services,Configuration for server IP,94
Data Center Services,Decommission,20
Data Center Services,Equipment tile location China Request,4
Data Center Services,Equipment tile location Europe - Ireland Request,2
Data Center Services,Equipment tile location GMIO - Israel Request,4
Data Center Services,Equipment tile location South Korea Request,2
Data Center Services,Install Network Cables - China,15
Data Center Services,Install Network Cables - Ireland,2
Data Center Services,Install Network Cables - Singapore,2
Data Center Services,Install Network/Storage Cables,354
Data Center Services,Milford Equipment tile Location,109
Data Center Services,Rack and Stack Equipment,208
Data Center Services,Rack and Stack Equipment Europe - Ireland Request,2
Data Center Services,Rack and Stack Equipment Singapore Request,2
Data Center Services,Relabel Cables for Redesign,16
Data Center Services,Troubleshooting Active Projects,183
Data Center Services,Troubleshooting Active Projects - Singapore,2
Data Center Services,Warren Equipment tile Location,158
NAS Storage,Delete,14
NAS Storage,Modify,247
NAS Storage,New,246
Special Network Attached Storage (NAS)_V2,Access Control,130
Special Network Attached Storage (NAS)_V2,Decommission/Reclaim,75
Special Network Attached Storage (NAS)_V2,ESS Storage Request,55
Special Network Attached Storage (NAS)_V2,Miscellaneous/Request for Information,67
Special Network Attached Storage (NAS)_V2,Project - Install,1
Special Network Attached Storage (NAS)_V2,Provisioning/Storage Allocation,378
Special Network Attached Storage (NAS)_V2,Replication/Sync,36
Special Network Attached Storage (NAS)_V2,Snapshots,3
Special Storage Area Network (SAN)_V2,Decommission/Reclaim,27
Special Storage Area Network (SAN)_V2,P2P,1
Special Storage Area Network (SAN)_V2,Port Activation and Deactivation,39
Special Storage Area Network (SAN)_V2,Project - Install,3
Special Storage Area Network (SAN)_V2,Project - Migration,9
Special Storage Area Network (SAN)_V2,Project - Prep Decom/Wipe,1
Special Storage Area Network (SAN)_V2,Project - Validate NO I/O Connectivity,1
Special Storage Area Network (SAN)_V2,Provisioning/Storage Allocation,219
Special Storage Area Network (SAN)_V2,Replication,6
Service,Request-Type,month,month
Backup & Recovery Operations,BUR Admin Assistance,January,16
Backup & Recovery Operations,BUR Admin Assistance,February,21
Backup & Recovery Operations,BUR Admin Assistance,March,26
Backup & Recovery Operations,BUR Admin Assistance,April,28
Backup & Recovery Operations,BUR Admin Assistance,May,36
Backup & Recovery Operations,BUR Admin Assistance,June,32
Backup & Recovery Operations,BUR Admin Assistance,July,35
Backup & Recovery Operations,BUR Admin Assistance,August,27
Backup & Recovery Operations,Migration/Decomm,January,1
Backup & Recovery Operations,Migration/Decomm,March,2
Backup & Recovery Operations,Migration/Decomm,July,1
Backup & Recovery Operations,Migration/Decomm,August,1
Backup & Recovery Operations,New Backup Configuration,January,39
Backup & Recovery Operations,New Backup Configuration,February,77
Backup & Recovery Operations,New Backup Configuration,March,43
Backup & Recovery Operations,New Backup Configuration,April,52
Backup & Recovery Operations,New Backup Configuration,May,46
Backup & Recovery Operations,New Backup Configuration,June,41
Backup & Recovery Operations,New Backup Configuration,July,36
Backup & Recovery Operations,New Backup Configuration,August,32
Backup & Recovery Operations,Permanently Stop Backups/Decommissions,February,1
Backup & Recovery Operations,Permanently Stop Backups/Decommissions,April,1
Backup & Recovery Operations,Permanently Stop Backups/Decommissions,May,1
Backup & Recovery Operations,Restore Request,January,8
Backup & Recovery Operations,Restore Request,February,1
Backup & Recovery Operations,Restore Request,March,4
Backup & Recovery Operations,Restore Request,April,6
Backup & Recovery Operations,Restore Request,May,9
Backup & Recovery Operations,Restore Request,June,9
Backup & Recovery Operations,Restore Request,July,5
Backup & Recovery Operations,Restore Request,August,6
Data Center Services,Cable Engineering,January,14
Data Center Services,Cable Engineering,February,28
Data Center Services,Cable Engineering,March,31
Data Center Services,Cable Engineering,April,23
Data Center Services,Cable Engineering,May,20
Data Center Services,Cable Engineering,June,24
Data Center Services,Cable Engineering,July,32
Data Center Services,Cable Engineering,August,19
Data Center Services,Cable Engineering - China,January,3
Data Center Services,Cable Engineering - China,February,3
Data Center Services,Cable Engineering - China,March,5
Data Center Services,Cable Engineering - China,May,2
Data Center Services,Cable Engineering - China,June,1
Data Center Services,Cable Engineering - China,July,2
Data Center Services,Cable Engineering - Singapore,February,1
Data Center Services,Cable Engineering - Singapore,March,1
Data Center Services,Configuration for Server IPs/iDRAC - China,January,1
Data Center Services,Configuration for Server IPs/iDRAC - Singapore,March,1
Data Center Services,Configuration for Server IPs/iDRAC - Singapore,April,1
Data Center Services,Configuration for server IP,January,7
Data Center Services,Configuration for server IP,February,10
Data Center Services,Configuration for server IP,March,6
Data Center Services,Configuration for server IP,April,10
Data Center Services,Configuration for server IP,May,12
Data Center Services,Configuration for server IP,June,5
Data Center Services,Configuration for server IP,July,21
